
ASH2YVELINES
;0780486E;E.R.P.D.PU;ERPD;36QUAIDELAREPUBLIQUE;;78700;CONFLANSSTEHONORINE;0139721155
;0783213U;E.R.P.D.PU;HERIOT;RUEDUCOMMANDANTHERIOT;;78125;LABOISSIEREECOLE;0134850180

AUBERGENVILLE
;0781438P;E.E.PU;;01RUEDESECOLES;;78770;ANDELU;0130885160
;0780011N;E.M.PU;LOUISPERGAUD;05RUEJULESFERRY;;78410;AUBERGENVILLE;0130905351
;0780275A;E.E.PU;LOUISPERGAUD;1RUEJULESFERRY;;78410;AUBERGENVILLE;0130905350
;0781332Z;E.E.PU;REINEASTRID;24BOULEVARDDUCOMMERCE;;78410;AUBERGENVILLE;0130957117
;0782423K;E.M.PU;REINEASTRID;10BOULEVARDPIERRELEFAUCHEUX;;78410;AUBERGENVILLE;0130957272
;0782429S;E.M.PU;JEANMOULIN;20RUEDUPLATEAU;;78410;AUBERGENVILLE;0130957077
;0783462P;E.E.PU;PAULFORT;20RUEDUPLATEAU;;78410;AUBERGENVILLE;0130957382
;0783507N;E.M.PU;ABERNARD;10RUEDEVERDUN;;78410;AUBERGENVILLE;0130957793
;0783513V;E.E.PU;JEANDELAFONTAINE;10RUEDEVERDUN;;78410;AUBERGENVILLE;0130957792
;0781335C;E.E.PU;;24GRANDERUE;;78126;AULNAYSURMAULDRE;0130908410
;0781336D;E.E.PU;;3RUEDAULNAY;;78580;BAZEMONT;0130909761
;0780406T;E.M.PU;;178RUEDELACROIXBOUSSAY;;78410;BOUAFLE;0130954814
;0781338F;E.E.PU;JOLIOTCURIE;02RUEDESCHARNELLES;;78410;BOUAFLE;0130955192
;0781340H;E.E.PU;JACQUESPREVERT;01TERRUEDELAGREVE;;78130;CHAPET;0134743313
;0780516M;E.M.PU;LARIBAMBELLE;40RUEDESVIGNES;;78920;ECQUEVILLY;0134755904
;0781341J;E.E.PU;VICTORHUGO;01RUEVICTORHUGO;;78920;ECQUEVILLY;0134755767
;0781342K;E.E.PU;GROUPESCOLAIREJULESFERRY;RUEJULESFERRY;;78920;ECQUEVILLY;0134750137
;0782931M;E.M.PU;GROUPEJULESFERRY;RUEJULESFERRY;;78920;ECQUEVILLY;0134755241
;0780252A;E.M.PU;LESPERVENCHES;RUEDUPAVE;;78680;EPONE;0130956218
;0780432W;E.M.PU;LESPERCENEIGE;104AVENUEDUMARECHALFOCH;;78680;EPONE;0130957156
;0781447Z;E.E.PU;MADELEINEVERNET;RUEDEMONTFORT;;78680;EPONE;0130956273
;0781449B;E.E.PU;LPASTEUR;104AVENUEDUMARECHALFOCH;;78680;EPONE;0130957875
;0782237H;E.M.PU;LESLAVANDES;BOULEVARDRENARDBENOIT;;78680;EPONE;0130956274
;0780754W;E.M.PU;CHARLESVAUTHIER;425BOULEVARDEXTERIEUR;;78410;FLINSSURSEINE;0130954576
;0781344M;E.E.PU;ROGERVASSIEUX;57RUEDEL'ORME;;78410;FLINSSURSEINE;0130957529
;0781349T;E.E.PU;;09RUESTCLAIR;;78580;HERBEVILLE;0130906525
