Identifiant_de_l_etablissement;Nom_etablissement;Type_etablissement;Statut_public_prive;Adresse_1;Adresse_2;Adresse_3;Code postal;Code_commune;Nom_commune;Code_departement;Code_academie;Code_region;Ecole_maternelle;Ecole_elementaire;Voie_generale;Voie_technologique;Voie_professionnelle;Telephone;Fax;Web;Mail;Restauration;Hebergement;ULIS;Apprentissage;Segpa;Section_arts;Section_cinema;Section_theatre;Section_sport;Section_internationale;Section_europeenne;Lycee_Agricole;Lycee_militaire;Lycee_des_metiers;Post_BAC;Appartenance_Education_Prioritaire;GRETA;SIREN_SIRET;Nombre_d_eleves;Fiche_onisep;position;Type_contrat_prive;Libelle_departement;Libelle_academie;Libelle_region;coordonnee_X;coordonnee_Y;epsg;nom_circonscription;latitude;longitude;precision_localisation;date_ouverture;date_maj_ligne;etat;ministere_tutelle;etablissement_multi_lignes;rpi_concentre;rpi_disperse;code_nature;libelle_nature;Code_type_contrat_prive;PIAL;etablissement_mere;type_rattachement_etablissement_mere;code_bassin_formation;libelle_bassin_formation
0781024P;Ecole élémentaire  Richard Mique;Ecole;Public;04  RUE RICHARD MIQUE;;78000 VERSAILLES;78000;78646;Versailles;78;25;11;0;1;;;;0139548395;;;ce.0781024P@ac-versailles.fr;1;0;0;;;;;;;;;;;;;;;21780646200313;123;;48.8123284531,2.14203024266;SANS OBJET;Yvelines;Versailles;Ile-de-France;636995.3;6857259.9;EPSG:2154;Circonscription d'inspection du 1er degré de Versailles;48.81232845310962;2.14203024266043;Numéro de rue;1965-05-01;2020-10-01;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0780580G;;;25007;078G-PLAISIR-VERSAILLES
0781121V;Ecole élémentaire Ecuyers;Ecole;Public;03 rue DES ECUYERS;;78100 ST GERMAIN EN LAYE;78100;78551;Saint-Germain-en-Laye;78;25;11;0;1;;;;0134519451;;;ce.0781121V@ac-versailles.fr;1;0;0;;;;;;;;;;;;;;;20008692400137;262;;48.8979867377,2.09118935688;SANS OBJET;Yvelines;Versailles;Ile-de-France;633371.6;6866825.8;EPSG:2154;Circonscription d'inspection du 1er degré de Saint Germain;48.89798673769175;2.0911893568764306;Numéro de rue;1965-05-01;2020-10-01;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0781204K;;;25005;078E-SAINT-GERMAIN-EN-LAYE
0783369N;Ecole élémentaire Annie Fratellini;Ecole;Public;51 boulevard de l'Europe;;78540 VERNOUILLET;78540;78643;Vernouillet;78;25;11;1;1;;;;0139656256;;;ce.0783369N@ac-versailles.fr;1;0;0;;;;;;;;;;;;;;;21780643900055;349;;48.975680756,1.98440967735;SANS OBJET;Yvelines;Versailles;Ile-de-France;625654.7;6875560.3;EPSG:2154;Circonscription d'inspection du 1er degré de Chanteloup les Vignes;48.975680756005936;1.9844096773454365;Numéro de rue;1997-09-01;2020-10-01;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0781986K;;;25003;078C-POISSY-SARTROUVILLE
0783646P;Ecole élémentaire privée Bilingue Montessori NLC 78;Ecole;Privé;25 rue DE LA CROIX BLANCHE;;78870 BAILLY;78870;78043;Bailly;78;25;11;1;1;;;;0664762620;;;sylvie.chedrawi@gmail.com;0;0;0;;;;;;;;;;;;;;;;59;;48.8416856641,2.07516059904;HORS CONTRAT;Yvelines;Versailles;Ile-de-France;632123.2;6860579.4;EPSG:2154;Circonscription d'inspection du 1er degré du Pecq-Marly;48.84168566412855;2.075160599035489;Numéro de rue;2014-09-01;2020-10-01;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;10;;;;25005;078E-SAINT-GERMAIN-EN-LAYE
0783762R;Ecole élémentaire privée Suger Bilingue;Ecole;Privé;27 rue diderot;;78100 ST GERMAIN EN LAYE;78100;78551;Saint-Germain-en-Laye;78;25;11;0;1;;;;0134512972;;;acceuil@ecole-suger-bilingue.com;1;0;0;;;;;;;;;;;;;;;;;;;HORS CONTRAT;Yvelines;Versailles;Ile-de-France;;;;Circonscription d'inspection du 1er degré de Saint Germain;;;;2018-09-01;2020-10-01;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;10;;;;25005;078E-SAINT-GERMAIN-EN-LAYE
0780151R;Ecole élémentaire Jean Macé;Ecole;Public;Square Jean Macé;;78190 TRAPPES;78190;78621;Trappes;78;25;11;0;1;;;;0130516808;;;ce.0780151R@ac-versailles.fr;1;0;0;;;;;;;;;;;;;REP+;;21780621500224;152;;48.7723401391,2.00356975054;SANS OBJET;Yvelines;Versailles;Ile-de-France;626771.9;6852933.4;EPSG:2154;Circonscription d'inspection du 1er degré de Trappes;48.772340139149165;2.003569750538714;Rue;1969-03-17;2020-10-01;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0780187E;;;25006;078F-SAINT-QUENTIN-EN-YVELINES
0780544T;Ecole maternelle Léo Lagrange;Ecole;Public;Square Léo Lagrange;;78190 TRAPPES;78190;78621;Trappes;78;25;11;1;0;;;;0130516831;;;ce.0780544T@ac-versailles.fr;1;0;0;;;;;;;;;;;;;REP+;;21780621500182;61;;48.7793228567,1.9843704807;SANS OBJET;Yvelines;Versailles;Ile-de-France;625371.0;6853727.7;EPSG:2154;Circonscription d'inspection du 1er degré de Trappes;48.77932285671877;1.9843704807032037;Rue;1972-06-15;2020-10-01;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0780187E;;;25006;078F-SAINT-QUENTIN-EN-YVELINES
0780679P;Ecole élémentaire Jean Jaurès;Ecole;Public;Rue FRANCOIS DOLTO;;78130 LES MUREAUX;78130;78440;Les Mureaux;78;25;11;1;1;;;;;;;ce.0780679P@ac-versailles.fr;1;0;1;;;;;;;;;;;;;REP+;;21780440000075;309;;48.9812542279,1.91822363239;SANS OBJET;Yvelines;Versailles;Ile-de-France;620818.4;6876244.4;EPSG:2154;Circonscription d'inspection du 1er degré des Mureaux;48.98125422787917;1.9182236323861488;Rue;1973-06-08;2020-10-01;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0780180X;;;25001;078A-LES MUREAUX
0780729U;Ecole maternelle Anne Frank;Ecole;Public;08 avenue Gabriel Péri;;78190 TRAPPES;78190;78621;Trappes;78;25;11;1;0;;;;0130516829;;;ce.0780729U@ac-versailles.fr;1;0;0;;;;;;;;;;;;;REP;;21780621500281;91;;48.776735283,2.00555985309;SANS OBJET;Yvelines;Versailles;Ile-de-France;626924.3;6853420.2;EPSG:2154;Circonscription d'inspection du 1er degré de Trappes;48.7767352830231;2.0055598530857677;Numéro de rue;1974-05-08;2020-10-01;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0780187E;;;25006;078F-SAINT-QUENTIN-EN-YVELINES
0781191W;Ecole élémentaire Maurice Ravel;Ecole;Public;Rue Erik Satie;;78130 LES MUREAUX;78130;78440;Les Mureaux;78;25;11;0;1;;;;0130914912;;;ce.0781191W@ac-versailles.fr;1;0;0;;;;;;;;;;;;;REP+;;21780440000240;219;;48.9775028551,1.92347954501;SANS OBJET;Yvelines;Versailles;Ile-de-France;621197.4;6875822.0;EPSG:2154;Circonscription d'inspection du 1er degré des Mureaux;48.97750285508814;1.923479545007431;Numéro de rue;1977-06-15;2020-10-01;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0780180X;;;25001;078A-LES MUREAUX
